food,Carbohydrates,Fat,Protein
bass cooked,0.0,2.9,15.0
pout cooked,0.0,3.2,58.4
chinook salmon raw,0.0,41.3,78.9
rockfish raw,0.0,2.6,35.1
tilefish raw,0.0,8.9,67.6
scup raw,0.0,4.5,31.3
sablefish cooked,0.0,59.3,51.9
tuna salad,19.3,19.0,32.9
coho salmon cooked,0.0,11.8,34.7
roe raw,0.2,0.9,3.1
sea bass raw,0.0,2.6,23.8
pink salmon cooked,0.0,12.0,56.0
sockeye salmon cooked,0.0,17.3,82.1
whitefish raw,0.0,11.6,37.8
greenland halibut cooked,0.0,56.4,58.6
northern pike cooked,0.0,2.7,76.5
salmon raw,0.0,53.1,80.9
turbot cooked,0.0,12.0,65.4
surimi,1.9,0.3,4.3
chinook salmon cooked,0.0,41.2,79.2
mullet cooked,0.0,4.5,23.1
chum salmon raw,0.0,0.1,0.6
butterfish raw,0.0,2.6,5.5
sea bass cooked,0.0,2.6,23.9
greenland halibut raw,0.0,56.5,58.6
halibut raw,0.0,5.4,75.7
sturgeon cooked,0.0,7.0,28.2
fish fillet fried,15.4,11.2,13.3
rainbow trout raw,0.0,4.9,15.8
pout raw,0.0,3.2,58.6
rainbow smelt cooked,0.0,0.9,6.4
monkfish raw,0.0,0.4,4.1
trout raw,0.0,5.2,16.4
shark raw,0.0,1.3,5.9
burbot raw,0.0,0.9,22.4
dolphinfish cooked,0.0,1.4,37.7
crayfish cooked,0.0,0.4,5.0
dolphinfish raw,0.0,1.4,37.7
perch cooked,0.0,0.5,11.4
cusk raw,0.0,0.8,23.2
bluefin tuna raw,0.0,1.4,6.6
milkfish cooked,0.0,2.4,7.4
carp raw,0.0,12.2,38.9
sturgeon raw,0.0,1.1,4.6
orange roughy raw,0.0,0.2,4.6
catfish fried,7.0,11.6,15.7
cuttlefish raw,0.2,0.2,4.6
bass raw,0.0,2.9,14.9
flounder cooked,0.0,3.0,19.4
milkfish raw,0.0,1.9,5.8
eel raw,0.0,23.8,37.6
catfish raw,0.0,9.4,24.2
fish sticks,6.1,4.5,3.1
coho salmon raw,0.0,12.2,33.8
monkfish cooked,0.0,0.6,5.3
