food,Carbohydrates,Fat,Protein
chocolate soymilk nonfat,20.7,0.046,6.0
okara,15.3,2.1,3.9
meatless meatballs,11.5,13.0,30.2
vanilla soymilk,15.3,4.3,7.9
soy meal raw,49.0,2.9,54.8
soymilk low fat,17.5,1.5,4.0
sprouted soybean raw,6.7,4.7,9.2
soybean raw,56.1,37.1,67.9
tempeh cooked,2.6,3.2,5.1
vanilla soymilk light,9.4,2.1,6.4
chocolate soymilk,24.2,3.7,5.5
soy oil,0.0,13.6,0.0
natto,11.5,8.8,14.2
chrysanthemum raw,1.5,0.3,1.7
gourd cooked,25.5,0.6,1.2
cauliflower raw,0.6,0.081,0.2
red cabbage raw,12.5,0.3,2.4
broccoli raab raw,1.1,0.2,1.3
napa cabbage cooked,2.4,0.2,1.2
kelp,0.5,0.067,0.07
shallots raw,4.2,0.061,0.6
bamboo shoots raw,9.4,0.5,4.7
jute cooked,6.3,0.2,3.2
red lettuce,0.6,0.08,0.4
broccoli cooked,20.1,1.1,6.7
romanesco raw,3.9,0.2,1.9
eggplant raw,26.9,0.8,4.5
leeks raw,12.6,0.3,1.3
lemongrass citronella,1.2,0.076,0.038
pumpkin cooked,12.0,0.2,1.8
celery cooked,1.5,0.098,0.3
serrano pepper,0.4,0.075,0.1
nopales raw,2.9,0.063,1.1
sweet potato leaves cooked,4.7,0.2,1.4
eggplant cooked,8.1,0.2,0.8
asparagus cooked,0.6,0.074,0.4
rutabaga cooked,16.4,0.4,2.2
parsnips raw,30.6,0.5,2.0
sour pickles,3.5,0.3,0.5
turnip greens cooked,6.3,0.3,1.6
jerusalem artichokes,26.2,0.047,3.0
collard raw,2.0,0.2,1.1
chrysanthemum cooked,4.3,0.036,1.6
oriental radish dried,73.5,0.8,9.2
tomatillos,7.7,1.3,1.3
taro shoots raw,2.0,0.069,0.8
acorn squash raw,44.9,0.4,3.4
leeks dried,2.4,0.026,0.5
cabbage raw,16.2,0.3,3.6
sweet red peppers cooked,4.5,0.1,0.7
sweet red peppers raw,9.0,0.4,1.5
cucumber peeled,2.9,0.2,0.8
purslane raw,1.5,0.2,0.9
peas onions cooked,15.5,0.4,4.6
tomato cooked,4.9,0.1,1.2
taro shoots cooked,4.5,0.1,1.0
scots kale raw,5.6,0.4,1.9
artichoke raw,13.5,0.2,4.2
navy bean sprouts raw,13.6,0.7,6.4
sweet pickles,33.8,0.7,0.9
oriental radish cooked,5.0,0.4,1.0
sweet potato leaves raw,3.1,0.2,0.9
irishmoss,0.6,0.049,0.037
drumstick leaves cooked,4.7,0.4,2.2
winter squash raw,10.0,0.2,1.1
pumpkin raw,7.5,0.1,1.2
chicory greens,1.4,0.096,0.5
spinach cooked,6.8,0.5,5.3
radish pickled,7.8,0.5,1.7
sweet onion,25.0,0.3,2.6
salsify cooked,20.7,0.2,3.7
radish seeds sprouted,1.4,1.0,1.4
turnips raw,11.8,0.2,1.6
burdock root raw,20.5,0.2,1.8
red cabbage cooked,11.8,0.2,2.6
jute raw,1.6,0.046,1.3
hot chile pepper dried,0.3,0.054,0.054
salsify raw,24.7,0.3,4.4
crookneck squash raw,4.9,0.3,1.3
indian squash cooked,7.6,0.4,0.7
poi,65.4,0.3,0.9
sesbania flower cooked,5.3,0.007,1.2
acorn squash cooked,29.9,0.3,2.3
cauliflower cooked,5.1,0.6,2.3
crookneck squash cooked,6.8,0.7,1.9
laver seaweed,0.1,0.012,0.2
mountain yam cooked,29.0,0.1,2.5
pumpkin flowers raw,1.1,0.084,0.3
mustard greens raw,2.6,0.2,1.6
arrowhead,2.4,0.084,0.6
japanese cabbage,8.5,0.2,2.4
mung bean sprouts cooked,4.5,0.1,2.5
scallop squash cooked,5.9,0.3,1.9
pumpkin leaves cooked,2.4,0.2,1.9
hungarian pepper,1.8,0.1,0.2
sweet potato baked,23.6,0.2,2.3
chinese cabbage pe tsai raw,2.5,0.2,0.9
taro raw,27.5,0.2,1.6
yam bean jicama,11.5,0.1,0.9
olives,0.5,0.9,0.09
mustard greens cooked,6.3,0.7,3.6
pumpkin flowers cooked,4.4,0.1,1.5
tree fern cooked,15.3,0.096,0.4
yellow corn raw,123.3,7.9,15.6
endive,1.7,0.1,0.6
wakame,7.3,0.5,2.4
tahitian taro raw,8.6,1.2,3.5
broccoli raw,6.0,0.3,2.6
sweet green peppers raw,6.9,0.3,1.3
chinese cabbage pak choi cooked,3.0,0.3,2.7
agar,0.3,0.058,0.053
watercress,0.4,0.006,0.8
beet greens cooked,7.9,0.3,3.7
winter squash cooked,18.1,0.7,1.8
new zealand spinach raw,1.4,0.1,0.8
okra,0.9,0.082,0.2
yautia tannier,31.9,0.5,2.0
mustard spinach cooked,5.0,0.4,3.1
rhubarb cooked,74.9,0.1,0.9
beets raw,13.0,0.2,2.2
drumstick pods raw,8.5,0.2,2.1
baby zucchini,0.3,0.089,0.3
onion raw,3.7,0.048,0.4
romanesco cooked,7.7,0.4,3.7
butternut squash raw,23.4,0.2,2.0
amaranth leaves,1.1,0.075,0.7
turnip greens raw,3.9,0.2,0.8
spaghetti squash raw,7.0,0.6,0.6
seaweed dry,9.2,0.3,3.1
yam cooked,37.4,0.2,2.0
corn dried,18.8,3.0,4.1
cucumber,5.4,0.2,1.0
arrowroot,16.1,0.2,5.1
cardoon raw,7.2,0.2,1.2
bamboo shoots cooked,2.3,0.3,1.8
summer squash raw,8.7,0.5,3.1
sweet potato raw,26.2,0.002,2.0
green tomato,9.3,0.4,2.2
beet greens raw,1.6,0.078,0.8
savoy cabbage cooked,9.2,0.2,3.1
witloof chicory,2.1,0.031,0.5
turnips cooked,7.9,0.1,1.1
dried tomatoes,1.1,0.053,0.3
radicchio,2.9,0.2,0.9
mixed vegetables cooked,23.8,0.3,5.2
yellow tomato,6.3,0.6,2.1
cardoon cooked,6.4,0.1,0.9
spinach raw,1.1,0.1,0.9
kale raw,0.9,0.3,0.6
drumstick pods cooked,9.7,0.2,2.5
kohlrabi raw,16.4,0.3,4.5
lentil sprouts,17.0,0.4,6.9
carrots raw,5.8,0.1,0.6
red chili peppers,4.0,0.2,0.8
fennel,17.1,0.5,2.9
sweet corn white,13.9,0.9,2.4
celeriac raw,14.4,0.5,2.3
hubbard squash raw,10.1,0.6,2.3
brussels sprouts cooked,1.5,0.1,0.5
carrots cooked,3.8,0.092,0.3
lambs quarters raw,0.069,0.067,0.08
lotus root cooked,1.4,0.056,0.1
split peas raw,118.9,2.3,48.4
scots kale cooked,7.3,0.5,2.5
corn cooked,21.6,1.5,3.5
radish raw,0.2,0.026,0.042
stinging nettles,6.7,0.007,2.4
baby carrots,1.2,0.053,0.031
sweet yellow peppers,11.8,0.4,1.9
taro leaves raw,1.9,0.2,1.4
corn raw,26.7,1.9,4.7
roselle,6.4,0.4,0.5
drumstick leaves raw,1.7,0.3,2.0
scallop squash raw,5.0,0.3,1.6
chicory roots,15.8,0.2,1.3
brussels sprouts raw,1.7,0.077,0.6
kale cooked,6.3,1.4,3.5
pupusas con frijoles,39.7,11.4,7.0
mustard cabbage,7.2,0.1,1.4
gourd raw,4.1,0.2,1.1
butternut squash cooked,21.0,0.2,1.8
burdock root cooked,35.1,0.2,3.5
cassava,78.4,0.6,2.8
peas carrots cooked,16.2,0.7,4.9
romaine lettuce,1.5,0.1,0.6
yam raw,41.8,0.3,2.3
chowchow pickles,65.3,2.2,3.7
prairie turnips raw,4.5,0.029,0.3
savoy cabbage raw,4.3,0.017,1.4
celery raw,1.2,0.045,0.3
celeriac cooked,9.1,0.3,1.5
mustard spinach raw,5.9,0.5,3.3
zucchini raw,8.1,0.8,3.1
okra cooked,7.2,0.3,3.0
white icicle radish,2.6,0.1,1.1
orange tomato,3.5,0.2,1.3
pumpkin leaves raw,0.9,0.2,1.2
spaghetti squash cooked,10.0,0.4,1.0
white corn cooked,22.4,1.5,3.4
artichoke cooked,14.3,0.4,3.5
avocado,23.0,39.6,5.4
string beans wellsley farms,1.7,0.0,0.3
lambs quarters cooked,9.0,1.3,5.8
peas cooked,25.0,0.4,8.6
beets cooked,5.0,0.085,0.8
shallots dried,0.7,0.013,0.1
green lettuce,4.3,0.2,2.0
kohlrabi cooked,11.0,0.2,3.0
kanpyo dried,35.1,0.3,4.6
prairie turnips boiled,4.2,0.086,0.2
broccoli raab cooked,2.7,0.4,3.3
summer squash cooked,9.9,1.0,2.7
taro cooked,45.7,0.1,0.7
spring onion scallions,1.5,0.077,0.4
hubbard squash cooked,12.3,0.7,2.8
jalapeno pepper,0.9,0.002,0.1
new zealand spinach cooked,3.8,0.3,2.3
sesbania flower raw,0.2,0.095,0.012
spirulina dried,1.7,0.5,4.0
chinese cabbage pe tsai cooked,2.9,0.2,1.8
zucchini cooked,4.8,0.6,2.1
green olives pickled,0.1,0.4,0.073
lotus root raw,19.8,0.1,3.0
grape leaves,2.4,0.3,0.8
dill pickled cucumber,3.7,0.2,0.9
skunk cabbage,1.8,0.1,1.5
banana pepper,1.8,0.1,0.5
oriental radish raw,13.9,0.3,2.0
purslane cooked,4.1,0.2,1.7
rhubarb raw,2.3,0.1,0.5
swamp cabbage,3.6,0.2,2.0
mung bean sprouts raw,1.2,0.044,0.6
onion cooked,1.5,0.034,0.2
swiss chard raw,1.3,0.042,0.6
peas raw,21.0,0.6,7.9
cabbage cooked,8.3,0.019,1.9
taro leaves cooked,5.6,0.6,3.9
leeks cooked,9.4,0.2,1.0
split peas cooked,40.2,0.8,16.3
sweet corn yellow,14.2,0.4,4.1
asparagus raw,0.5,0.037,0.3
collard cooked,10.7,1.4,5.1
swiss chard cooked,7.2,0.1,3.3
nopales cooked,4.9,0.003,2.0
tahitian taro cooked,9.4,0.9,5.7
chinese cabbage pak choi raw,1.5,0.1,1.1
green chili pepper,4.3,0.097,0.9
mountain yam raw,22.2,0.1,1.8
parsnips cooked,27.2,0.5,2.1
tomato stewed,16.1,3.3,2.4
sweet green peppers cooked,4.5,0.1,0.7
white corn raw,31.6,2.0,5.3
rutabaga raw,66.5,1.2,8.3
jalapeno peppers canned,6.4,1.3,1.3
pumpkin canned,19.8,0.7,2.7
peas onions canned,10.3,0.5,3.9
sweet mashed potato canned,59.1,0.5,5.0
hominy canned,23.5,1.5,2.4
tomato puree canned,22.5,0.5,4.1
dried tomatoes canned in oil,0.7,0.4,0.2
mixed vegetables canned,17.5,0.6,3.5
straw mushrooms canned,0.3,0.09,0.2
capers canned,0.4,0.089,0.2
red peppers canned,3.7,0.058,0.7
carrots canned,24.4,0.6,2.6
tomatoes in tomato juice canned,9.6,0.3,1.9
asparagus canned,10.2,0.7,7.4
sweet red peppers canned,5.5,0.4,1.1
onions canned,2.5,0.084,0.5
turnip greens canned,4.0,0.4,2.0
hearts of palm,1.5,0.2,0.8
spinach canned,6.8,0.9,4.9
sweet potato canned,133.5,1.3,6.3
corn canned,11.1,0.6,1.6
peas carrots canned,21.6,0.7,5.5
crookneck squash canned,6.2,0.1,1.3
tomatoes canned,17.6,0.7,4.0
pimento canned,9.8,0.6,2.1
sweet green peppers canned,5.5,0.4,1.1
peas canned,9.5,0.8,3.5
chili peppers canned,6.4,0.4,1.0
green peppers canned,3.7,0.074,0.7
grape leaves canned,3.3,0.6,1.2
sauerkraut canned,6.1,0.2,1.3
beets canned,16.2,0.2,2.0
stewed tomatoes canned,15.8,0.5,2.3
tomato paste canned,49.5,1.2,11.3
bacon ranch salad mcdonalds,19.4,20.1,28.1
caesar salad with grilled chicken mcdonalds,11.3,5.6,29.1
caesar salad mcdonalds,9.1,4.4,6.8
vegetable salad,4.4,0.054,1.7
vegetable salad with chicken,2.5,1.5,11.6
potato salad,27.9,20.5,6.7
taco salad taco bell,80.5,48.9,35.7
iceberg lettuce,1.7,0.045,0.5
cornsalad,2.0,0.2,1.1
potato salad with egg,40.5,23.5,4.9
side salad mcdonalds,3.7,0.2,0.9
caesar salad with crispy chicken mcdonalds,19.2,16.4,25.7
grape apple salad with walnuts,25.6,8.2,3.5
vegetable salad with cheese egg,3.2,3.9,5.8
celtuce,0.3,0.088,0.071
arugula,0.7,0.1,0.5
vegetable salad with shrimp,4.4,1.7,9.7
coleslaw,28.4,18.9,1.8
shiitake mushrooms cooked,2.6,0.007,0.3
shiitake mushrooms raw,1.3,0.039,0.4
crimini mushrooms,0.3,0.018,0.2
mushrooms raw,2.3,0.2,2.2
portabella mushrooms grilled,5.4,0.7,4.0
maitake mushrooms,0.072,0.017,0.016
shiitake mushrooms dried,2.7,0.061,0.3
chanterelle mushrooms,0.4,0.063,0.033
cloud ear fungus dried,20.4,0.2,2.6
mushrooms cooked,8.3,0.7,3.4
pepeao dried,19.4,0.1,1.2
truffles,5.4,4.1,0.7
jews ear,6.7,0.095,0.5
enoki mushrooms,0.2,0.099,0.062
morel mushrooms,0.7,0.07,0.4
portabella mushrooms raw,3.3,0.3,1.8
oyster mushroom,0.9,0.035,0.5
